Core, 0
Cumulative Cycles, 15289496            
Cumulative Instructions, 30004381            
Cumulative IPC, 1.96242
Periodic Cycles, 15289496            
Periodic Instructions, 30004381            
Periodic IPC, 1.96242

EXECUTION_TIME_count, 4777967500000
EXECUTION_TIME_total_count, 4777967500000

NODE_CYCLE_count,      15289496
NODE_CYCLE_total_count,      15289496

NODE_INST_COUNT_count,      30004381
NODE_INST_COUNT_total_count,      30004381

NODE_INST_COUNT_FETCHED_count,      30000000
NODE_INST_COUNT_FETCHED_total_count,      30000000

NODE_UOP_COUNT_count,      33351189
NODE_UOP_COUNT_total_count,      33351189

FULL_WINDOW_STALL_count,       7077132
FULL_WINDOW_STALL_pct,       46.288
FULL_WINDOW_STALL_total_count,       7077132
FULL_WINDOW_STALL_total_pct,       46.288

FULL_WINDOW_ROB_MEM_OP_count,       6472054
FULL_WINDOW_ROB_MEM_OP_pct,       91.450
FULL_WINDOW_ROB_MEM_OP_total_count,       6472054
FULL_WINDOW_ROB_MEM_OP_total_pct,       91.450

FULL_WINDOW_ROB_FP_OP_count,             0
FULL_WINDOW_ROB_FP_OP_pct,        0.000
FULL_WINDOW_ROB_FP_OP_total_count,             0
FULL_WINDOW_ROB_FP_OP_total_pct,        0.000

FULL_WINDOW_ROB_OTHER_OP_count,         11982
FULL_WINDOW_ROB_OTHER_OP_pct,        0.169
FULL_WINDOW_ROB_OTHER_OP_total_count,         11982
FULL_WINDOW_ROB_OTHER_OP_total_pct,        0.169

FULL_WINDOW_LQ_FULL_count,             0
FULL_WINDOW_LQ_FULL_pct,        0.000
FULL_WINDOW_LQ_FULL_total_count,             0
FULL_WINDOW_LQ_FULL_total_pct,        0.000

FULL_WINDOW_SQ_FULL_count,           754
FULL_WINDOW_SQ_FULL_pct,        0.011
FULL_WINDOW_SQ_FULL_total_count,           754
FULL_WINDOW_SQ_FULL_total_pct,        0.011

FULL_WINDOW_WAITING_ON_RET_count,        592342
FULL_WINDOW_WAITING_ON_RET_pct,        8.370
FULL_WINDOW_WAITING_ON_RET_total_count,        592342
FULL_WINDOW_WAITING_ON_RET_total_pct,        8.370
FULL_WINDOW_WAITING_ON_RET_sum_count,       7077132
FULL_WINDOW_WAITING_ON_RET_sum_pct,      100.000
FULL_WINDOW_WAITING_ON_RET_sum_total_count,       7077132
