Core, 0
Cumulative Cycles, 139224581           
Cumulative Instructions, 100000001           
Cumulative IPC, 0.71826
Periodic Cycles, 139224581           
Periodic Instructions, 100000001           
Periodic IPC, 0.71826

EXECUTION_TIME_count, 43507681562500
EXECUTION_TIME_total_count, 43507681562500

NODE_CYCLE_count,     139224581
NODE_CYCLE_total_count,     139224581

NODE_INST_COUNT_count,     100000001
NODE_INST_COUNT_total_count,     100000001

NODE_INST_COUNT_FETCHED_count,     100000001
NODE_INST_COUNT_FETCHED_total_count,     100000001

NODE_UOP_COUNT_count,     105266595
NODE_UOP_COUNT_total_count,     105266595

FULL_WINDOW_STALL_count,     103911307
FULL_WINDOW_STALL_pct,       74.636
FULL_WINDOW_STALL_total_count,     103911307
FULL_WINDOW_STALL_total_pct,       74.636

FULL_WINDOW_ROB_MEM_OP_count,     102569108
FULL_WINDOW_ROB_MEM_OP_pct,       98.708
FULL_WINDOW_ROB_MEM_OP_total_count,     102569108
FULL_WINDOW_ROB_MEM_OP_total_pct,       98.708

FULL_WINDOW_ROB_FP_OP_count,             0
FULL_WINDOW_ROB_FP_OP_pct,        0.000
FULL_WINDOW_ROB_FP_OP_total_count,             0
FULL_WINDOW_ROB_FP_OP_total_pct,        0.000

FULL_WINDOW_ROB_OTHER_OP_count,         18571
FULL_WINDOW_ROB_OTHER_OP_pct,        0.018
FULL_WINDOW_ROB_OTHER_OP_total_count,         18571
FULL_WINDOW_ROB_OTHER_OP_total_pct,        0.018

FULL_WINDOW_LQ_FULL_count,             0
FULL_WINDOW_LQ_FULL_pct,        0.000
FULL_WINDOW_LQ_FULL_total_count,             0
FULL_WINDOW_LQ_FULL_total_pct,        0.000

FULL_WINDOW_SQ_FULL_count,             0
FULL_WINDOW_SQ_FULL_pct,        0.000
FULL_WINDOW_SQ_FULL_total_count,             0
FULL_WINDOW_SQ_FULL_total_pct,        0.000

FULL_WINDOW_WAITING_ON_RET_count,       1323628
FULL_WINDOW_WAITING_ON_RET_pct,        1.274
FULL_WINDOW_WAITING_ON_RET_total_count,       1323628
FULL_WINDOW_WAITING_ON_RET_total_pct,        1.274
FULL_WINDOW_WAITING_ON_RET_sum_count,     103911307
FULL_WINDOW_WAITING_ON_RET_sum_pct,      100.000
FULL_WINDOW_WAITING_ON_RET_sum_total_count,     103911307
FULL_WINDOW_WAITING_ON_RET_sum_total_pct,      100.000
FULL_WINDOW_WAITING_ON_RET_mean,         0.06
FULL_WINDOW_WAITING_ON_RET_stddev,         0.56
FULL_WINDOW_WAITING_ON_RET_total_mean,         0.06
