Scarab gitrev: f116de3
Scarab started at Sun Mar 30 13:17:17 2025

Initialized Ramulator. 
Op1 PC: 7ffff7da9e1f	 Op2 PC: 7ffff7da9ea9	 Op1 Cacheblock: 7ffff7dd5e40	 Op2 Cacheblock: 7ffff7dd5e40	 Op1 Offset: 40	 Op2 offset: 56	 Op1 base reg: 0	Op2 base reg: 4	Op1 micro-op id: 45	Op2 micro-op id: 69	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7ffff7da9e92	 Op2 PC: 7ffff7da9e92	 Op1 Cacheblock: 7ffff7dd5f40	 Op2 Cacheblock: 7ffff7dd5f40	 Op1 Offset: 24	 Op2 offset: 24	 Op1 base reg: 4	Op2 base reg: 4	Op1 micro-op id: 428	Op2 micro-op id: 448	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7ffff7da9ebf	 Op2 PC: 7ffff7da9ecf	 Op1 Cacheblock: 7ffff7dd6a40	 Op2 Cacheblock: 7ffff7dd6a40	 Op1 Offset: 8	 Op2 offset: 0	 Op1 base reg: 0	Op2 base reg: 0	Op1 micro-op id: 911	Op2 micro-op id: 917	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7ffff7da9ecb	 Op2 PC: 7ffff7da9eeb	 Op1 Cacheblock: 7ffff7dd5e80	 Op2 Cacheblock: 7ffff7dd5e80	 Op1 Offset: 0	 Op2 offset: 32	 Op1 base reg: 1	Op2 base reg: 1	Op1 micro-op id: 914	Op2 micro-op id: 926	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7ffff7da9edf	 Op2 PC: 7ffff7da9eef	 Op1 Cacheblock: 7ffff7dd6a40	 Op2 Cacheblock: 7ffff7dd6a40	 Op1 Offset: 16	 Op2 offset: 24	 Op1 base reg: 0	Op2 base reg: 0	Op1 micro-op id: 923	Op2 micro-op id: 929	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7ffff7da9f0b	 Op2 PC: 7ffff7da9f1b	 Op1 Cacheblock: 7ffff7dd5f00	 Op2 Cacheblock: 7ffff7dd5f00	 Op1 Offset: 32	 Op2 offset: 16	 Op1 base reg: 1	Op2 base reg: 1	Op1 micro-op id: 938	Op2 micro-op id: 944	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7ffff7da9efb	 Op2 PC: 7ffff7da9f3b	 Op1 Cacheblock: 7ffff7dd5e80	 Op2 Cacheblock: 7ffff7dd5e80	 Op1 Offset: 48	 Op2 offset: 16	 Op1 base reg: 1	Op2 base reg: 1	Op1 micro-op id: 932	Op2 micro-op id: 956	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7ffff7da9f0f	 Op2 PC: 7ffff7da9f3f	 Op1 Cacheblock: 7ffff7dd6ac0	 Op2 Cacheblock: 7ffff7dd6ac0	 Op1 Offset: 32	 Op2 offset: 8	 Op1 base reg: 0	Op2 base reg: 0	Op1 micro-op id: 941	Op2 micro-op id: 959	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7ffff7da9eff	 Op2 PC: 7ffff7da9f56	 Op1 Cacheblock: 7ffff7dd6a40	 Op2 Cacheblock: 7ffff7dd6a40	 Op1 Offset: 32	 Op2 offset: 32	 Op1 base reg: 0	Op2 base reg: 0	Op1 micro-op id: 935	Op2 micro-op id: 965	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7ffff7da9f2b	 Op2 PC: 7ffff7da9f69	 Op1 Cacheblock: 7ffff7dd5f40	 Op2 Cacheblock: 7ffff7dd5f40	 Op1 Offset: 48	 Op2 offset: 0	 Op1 base reg: 1	Op2 base reg: 3	Op1 micro-op id: 950	Op2 micro-op id: 969	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7ffff7da9f62	 Op2 PC: 7ffff7da9ebf	 Op1 Cacheblock: 7ffff7dd6a40	 Op2 Cacheblock: 7ffff7dd6a40	 Op1 Offset: 48	 Op2 offset: 8	 Op1 base reg: 0	Op2 base reg: 0	Op1 micro-op id: 968	Op2 micro-op id: 1114	Op1 mem size: 8	Op2 mem size: 8
