Scarab gitrev: 3faa0e4
Failed to load binaries: Failed to map module /simpoint_traces/postgres/traces_simp/bin/libdrmemtrace.so Check that module.log references the correct binary paths.Scarab started at Sun Mar 23 02:39:19 2025

Initialized Ramulator. 
Op1 PC: 7f7180be9f56	 Op2 PC: 7f7180be9f72	 Op1 Cacheblock: 7f7180cf8480	 Op2 Cacheblock: 7f7180cf8480	 Op1 Offset: 0	 Op2 offset: 0	 Op1 base reg: 0	Op2 base reg: 0
Op1 PC: 7f7180b9baf0	 Op2 PC: 7f7180b9bb47	 Op1 Cacheblock: 7f7180cf5800	 Op2 Cacheblock: 7f7180cf5800	 Op1 Offset: 0	 Op2 offset: 0	 Op1 base reg: 0	Op2 base reg: 0
Op1 PC: 7f7180bea0be	 Op2 PC: 7f7181c018cb	 Op1 Cacheblock: 7f717e172ec0	 Op2 Cacheblock: 7f717e172ec0	 Op1 Offset: 0	 Op2 offset: 0	 Op1 base reg: 0	Op2 base reg: 0
Op1 PC: 7f7181c01936	 Op2 PC: 7f7181c01936	 Op1 Cacheblock: 7f7181c182c0	 Op2 Cacheblock: 7f7181c182c0	 Op1 Offset: 0	 Op2 offset: 0	 Op1 base reg: 0	Op2 base reg: 0
Op1 PC: 7f7181c019e3	 Op2 PC: 7f7181c019ea	 Op1 Cacheblock: 7f717e173180	 Op2 Cacheblock: 7f717e173180	 Op1 Offset: 0	 Op2 offset: 0	 Op1 base reg: 11	Op2 base reg: 11
Op1 PC: 7f7180b9bb4e	 Op2 PC: 7f7180b9bb4e	 Op1 Cacheblock: 7f7180cf5840	 Op2 Cacheblock: 7f7180cf5840	 Op1 Offset: 0	 Op2 offset: 0	 Op1 base reg: 1	Op2 base reg: 1
Op1 PC: 7f7181c01a13	 Op2 PC: 7f7181c01a13	 Op1 Cacheblock: 7f717e1734c0	 Op2 Cacheblock: 7f717e1734c0	 Op1 Offset: 0	 Op2 offset: 0	 Op1 base reg: 0	Op2 base reg: 0
Op1 PC: 7f7181c01a62	 Op2 PC: 7f7181c01a62	 Op1 Cacheblock: 7fff1ea3f180	 Op2 Cacheblock: 7fff1ea3f180	 Op1 Offset: 0	 Op2 offset: 0	 Op1 base reg: 8	Op2 base reg: 8
Op1 PC: 7f7180b9bb62	 Op2 PC: 7f7180b9bb62	 Op1 Cacheblock: 7f7180cf5800	 Op2 Cacheblock: 7f7180cf5800	 Op1 Offset: 0	 Op2 offset: 0	 Op1 base reg: 0	Op2 base reg: 0
Op1 PC: 7f7181c018c4	 Op2 PC: 7f7181c018c4	 Op1 Cacheblock: 7f7181c1c340	 Op2 Cacheblock: 7f7181c1c340	 Op1 Offset: 0	 Op2 offset: 0	 Op1 base reg: 0	Op2 base reg: 0
Op1 PC: 7f7181c00be7	 Op2 PC: 7f717e70d01e	 Op1 Cacheblock: 7fff1ea3f180	 Op2 Cacheblock: 7fff1ea3f180	 Op1 Offset: 0	 Op2 offset: 0	 Op1 base reg: 8	Op2 base reg: 8
Op1 PC: 7f717e70d01b	 Op2 PC: 7f717e70d01b	 Op1 Cacheblock: 7f717e77e680	 Op2 Cacheblock: 7f717e77e680	 Op1 Offset: 0	 Op2 offset: 0	 Op1 base reg: 1	Op2 base reg: 1
