pc1,pc2,cacheline,op_num1,op_num2
7f34ea650e1f,7f34ea650ea9,7f34ea67ce40,45,69
7f34ea650e92,7f34ea650e92,7f34ea67cf40,460,480
7f34ea650ebf,7f34ea650ecf,7f34ea67da40,943,949
7f34ea650ecb,7f34ea650eeb,7f34ea67ce80,946,958
7f34ea650edf,7f34ea650eef,7f34ea67da40,955,961
7f34ea650f0b,7f34ea650f1b,7f34ea67cf00,970,976
7f34ea650efb,7f34ea650f3b,7f34ea67ce80,964,988
7f34ea650f0f,7f34ea650f3f,7f34ea67dac0,973,991
7f34ea650eff,7f34ea650f56,7f34ea67da40,967,997
7f34ea650f2b,7f34ea650f69,7f34ea67cf40,982,1001
7f34ea650f62,7f34ea650ebf,7f34ea67da40,1000,1161
7f34ea650edb,7f34ea650edb,7f34ea67cec0,952,1170
7f34ea650f62,7f34ea650edf,7f34ea67da40,1000,1173
7f34ea650ecb,7f34ea650efb,7f34ea67ce80,1164,1182
7f34ea650f62,7f34ea650eff,7f34ea67da40,1000,1185
7f34ea650f4b,7f34ea650f0b,7f34ea67cf00,994,1188
7f34ea650f1f,7f34ea650f1f,7f34ea67db80,979,1197
7f34ea650f2f,7f34ea650f2f,7f34ea67dc80,985,1203
7f34ea650f4b,7f34ea650f4b,7f34ea67cf00,994,1212
7f34ea650f62,7f34ea650f62,7f34ea67da40,1000,1218
7f34ea650f74,7f34ea650f74,7f34ea67db40,1004,1222
7f34ea650f8e,7f34ea650f8e,7f34ea67db00,1044,1225
7f34ea650f62,7f34ea650edf,7f34ea67da40,1000,1354
7f34ea650f0f,7f34ea650f0f,7f34ea67dac0,1191,1372
7f34ea650f2b,7f34ea650f2b,7f34ea67cf40,1200,1381
7f34ea650fa8,7f34ea650fa8,7f34ea67db00,1409,1459
7f34ea650f4b,7f34ea6510b9,7f34ea67cf00,994,1551
7f34ea650f62,7f34ea6510bd,7f34ea67da40,1000,1552
7f34ea650f74,7f34ea6510c4,7f34ea67db40,1004,1553
7f34ea650f4b,7f34ea6510cb,7f34ea67cf00,994,1554
7f34ea6510ef,7f34ea6510ef,7f34ea67da00,1565,1648
7f34ea650edb,7f34ea651100,7f34ea67cec0,952,1651
7f34ea650f4b,7f34ea651104,7f34ea67cf00,994,1652
7f34ea650f62,7f34ea651115,7f34ea67da40,1000,1657
7f34ea650ecb,7f34ea65111c,7f34ea67ce80,1345,1658
7f34ea651128,7f34ea65112e,7f34ea64fb00,1662,1664
7f34ea651138,7f34ea651128,7f34ea64fb00,1667,1752
7f34ea651138,7f34ea651138,7f34ea64fb40,1768,1779
7f34ea650f1f,7f34ea65114b,7f34ea67db80,979,2424
7f34ea651187,7f34ea65118b,7f34ea64fec0,2568,2569
7f34ea6511b0,7f34ea6511b5,7f34ea64f5c0,2581,2582
7f34ea650ecb,7f34ea650ecb,7f34ea67ce80,1345,2637
7f34ea650f62,7f34ea650edf,7f34ea67da40,1000,2646
7f34ea650fb6,7f34ea650fb6,7f34ea67da80,1462,2704
7f34ea6510de,7f34ea6510de,7f34ea67cf80,1560,2720
7f34ea6510f6,7f34ea6510f6,7f34ea67dac0,1649,2726
