pc1,pc2,cacheline,op_num1,op_num2,distance
7f9c12ca212f,7f9c12ca2130,7f99b3497a40,17,19,1
7f9c12bb7519,7f9c12bb7528,7f9c12d6c700,308,311,2
7f9c12d7d573,7f9c12d7d59a,7f99b3498d00,323,333,9
7f9c12bc5bba,7f9c12bc5be0,7f99b3498700,817,826,8
7f9c12bc5bf6,7f9c12bc5bba,7f99b3498700,832,880,47
7f9c12bc5bf1,7f9c12bc5bf1,7f99b3497980,830,893,62
7f9c12bc5bf6,7f9c12bc5bf6,7f99b3498700,832,895,62
7f9c12bc5c07,7f9c12bc5c07,7f99b3498740,836,899,62
7f9c12bc5bf1,7f9c12bc5c41,7f99b3497980,830,1264,433
7f9c12bc5bf1,7f9c12bc5c42,7f99b3497980,830,1266,435
7f9c12d7d573,7f9c12d7d5d7,7f99b3498d00,323,1278,954
7f9c12d7d5d2,7f9c12d7d5e4,7f99b34979c0,1277,1281,3
7f9c12d7d5fc,7f9c12d7d603,7f99b3498d40,1287,1288,0
7f9c0d8f3e16,7f9c0d8f3d6d,7f99bb07aa40,1707,1757,49
7f9c0d8f3d99,7f9c0d8f3e16,7f99bb07aa40,1996,2043,46
7f9c0b08d420,7f9c0b08d420,7f9c0f57ad00,1782,2068,285
7f9c0d8f3da6,7f9c0d8efe54,7f99c37d5f40,1999,2089,89
7f9c0e378053,7f9c0e377f23,7f99b3498680,2505,2699,193
7f9c0d8f3d5e,7f9c0e2ced09,7f99b3498700,1754,2754,999
7f9c12c17c4d,7f9c0e2cedb9,7f99b3497840,3681,3704,22
7f9c0e2ced6a,7f9c0e2ced6a,7f9c0f99de80,3221,3802,580
7f9c0e2ce6be,7f9c0e2ce6da,7f9c0f99df00,3857,3864,6
7f9c0e2ce0e9,7f9c0e2ce15a,7f9c0f99de80,3929,3949,19
7f9c0e2ce0e9,7f9c0e2ce0e9,7f9c0f99de80,3929,3968,38
7f9c0e2ce128,7f9c0e2ce128,7f9c0f99da00,3979,4018,38
7f9c0e2ce0e9,7f9c0e2ce15a,7f9c0f99de80,3929,4560,630
7f9c0e2ce16c,7f9c0e2ce16c,7f99b3497800,4637,4671,33
7f9c0e2cb9f0,7f9c0e2cb9f0,7f9c0f6fad80,4846,4918,71
