Scarab gitrev: 988ee1c
Scarab started at Sun Mar 23 12:40:36 2025

Initialized Ramulator. 
Micro-op 1: 7ffff7da9e1f	Micro-op 2: 7ffff7da9ea9	 Cacheblock Address: 7ffff7dd5e40
Micro-op 1: 7ffff7da9e92	Micro-op 2: 7ffff7da9e92	 Cacheblock Address: 7ffff7dd5f40
Micro-op 1: 7ffff7da9ebf	Micro-op 2: 7ffff7da9ecf	 Cacheblock Address: 7ffff7dd6a40
Micro-op 1: 7ffff7da9ecb	Micro-op 2: 7ffff7da9eeb	 Cacheblock Address: 7ffff7dd5e80
Micro-op 1: 7ffff7da9edf	Micro-op 2: 7ffff7da9eef	 Cacheblock Address: 7ffff7dd6a40
Micro-op 1: 7ffff7da9f0b	Micro-op 2: 7ffff7da9f1b	 Cacheblock Address: 7ffff7dd5f00
Micro-op 1: 7ffff7da9efb	Micro-op 2: 7ffff7da9f3b	 Cacheblock Address: 7ffff7dd5e80
Micro-op 1: 7ffff7da9f0f	Micro-op 2: 7ffff7da9f3f	 Cacheblock Address: 7ffff7dd6ac0
Micro-op 1: 7ffff7da9eff	Micro-op 2: 7ffff7da9f56	 Cacheblock Address: 7ffff7dd6a40
Micro-op 1: 7ffff7da9f2b	Micro-op 2: 7ffff7da9f69	 Cacheblock Address: 7ffff7dd5f40
Micro-op 1: 7ffff7da9f62	Micro-op 2: 7ffff7da9ebf	 Cacheblock Address: 7ffff7dd6a40
Micro-op 1: 7ffff7da9edb	Micro-op 2: 7ffff7da9edb	 Cacheblock Address: 7ffff7dd5ec0
Micro-op 1: 7ffff7da9f62	Micro-op 2: 7ffff7da9edf	 Cacheblock Address: 7ffff7dd6a40
Micro-op 1: 7ffff7da9ecb	Micro-op 2: 7ffff7da9efb	 Cacheblock Address: 7ffff7dd5e80
Micro-op 1: 7ffff7da9f62	Micro-op 2: 7ffff7da9eff	 Cacheblock Address: 7ffff7dd6a40
Micro-op 1: 7ffff7da9f4b	Micro-op 2: 7ffff7da9f0b	 Cacheblock Address: 7ffff7dd5f00
Micro-op 1: 7ffff7da9f1f	Micro-op 2: 7ffff7da9f1f	 Cacheblock Address: 7ffff7dd6b80
Micro-op 1: 7ffff7da9f2f	Micro-op 2: 7ffff7da9f2f	 Cacheblock Address: 7ffff7dd6c80
Micro-op 1: 7ffff7da9f4b	Micro-op 2: 7ffff7da9f4b	 Cacheblock Address: 7ffff7dd5f00
Micro-op 1: 7ffff7da9f62	Micro-op 2: 7ffff7da9f62	 Cacheblock Address: 7ffff7dd6a40
Micro-op 1: 7ffff7da9f74	Micro-op 2: 7ffff7da9f74	 Cacheblock Address: 7ffff7dd6b40
Micro-op 1: 7ffff7da9f8e	Micro-op 2: 7ffff7da9f8e	 Cacheblock Address: 7ffff7dd6b00
Micro-op 1: 7ffff7daa0b9	Micro-op 2: 7ffff7daa0cb	 Cacheblock Address: 7ffff7dd5f00
Micro-op 1: 7ffff7daa0ef	Micro-op 2: 7ffff7daa0ef	 Cacheblock Address: 7ffff7dd6a00
Micro-op 1: 7ffff7da9f0f	Micro-op 2: 7ffff7daa0f6	 Cacheblock Address: 7ffff7dd6ac0
Micro-op 1: 7ffff7da9edb	Micro-op 2: 7ffff7daa100	 Cacheblock Address: 7ffff7dd5ec0
Micro-op 1: 7ffff7da9f4b	Micro-op 2: 7ffff7daa104	 Cacheblock Address: 7ffff7dd5f00
Micro-op 1: 7ffff7daa0bd	Micro-op 2: 7ffff7daa115	 Cacheblock Address: 7ffff7dd6a40
Micro-op 1: 7ffff7daa128	Micro-op 2: 7ffff7daa12e	 Cacheblock Address: 7ffff7da8b00
