Scarab gitrev: fbdb46e
Scarab started at Sun Mar 23 11:40:27 2025

Initialized Ramulator. 
Micro-op 1: 7f9c12ca212f	Micro-op 2: 7f9c12ca2130
Micro-op 1: 7f9c12bb7519	Micro-op 2: 7f9c12bb7528
Micro-op 1: 7f9c12d7d573	Micro-op 2: 7f9c12d7d59a
Micro-op 1: 7f9c12bc5bba	Micro-op 2: 7f9c12bc5be0
Micro-op 1: 7f9c12bc5bf6	Micro-op 2: 7f9c12bc5bba
Micro-op 1: 7f9c12bc5bf1	Micro-op 2: 7f9c12bc5bf1
Micro-op 1: 7f9c12bc5bf6	Micro-op 2: 7f9c12bc5bf6
Micro-op 1: 7f9c12bc5c07	Micro-op 2: 7f9c12bc5c07
Micro-op 1: 7f9c12bc5bf1	Micro-op 2: 7f9c12bc5c41
Micro-op 1: 7f9c12bc5bf1	Micro-op 2: 7f9c12bc5c42
Micro-op 1: 7f9c12d7d573	Micro-op 2: 7f9c12d7d5d7
Micro-op 1: 7f9c12d7d5d2	Micro-op 2: 7f9c12d7d5e4
Micro-op 1: 7f9c12d7d5fc	Micro-op 2: 7f9c12d7d603
Micro-op 1: 7f9c0d8f3e16	Micro-op 2: 7f9c0d8f3d6d
Micro-op 1: 7f9c0d8f3d99	Micro-op 2: 7f9c0d8f3e16
Micro-op 1: 7f9c0b08d420	Micro-op 2: 7f9c0b08d420
Micro-op 1: 7f9c0d8f3da6	Micro-op 2: 7f9c0d8efe54
Micro-op 1: 7f9c0e378053	Micro-op 2: 7f9c0e377f23
Micro-op 1: 7f9c0d8f3d5e	Micro-op 2: 7f9c0e2ced09
Micro-op 1: 7f9c12c17c4d	Micro-op 2: 7f9c0e2cedb9
Micro-op 1: 7f9c0e2ced6a	Micro-op 2: 7f9c0e2ced6a
Micro-op 1: 7f9c0e2ce6be	Micro-op 2: 7f9c0e2ce6da
Micro-op 1: 7f9c0e2ce0e9	Micro-op 2: 7f9c0e2ce15a
Micro-op 1: 7f9c0e2ce0e9	Micro-op 2: 7f9c0e2ce0e9
Micro-op 1: 7f9c0e2ce128	Micro-op 2: 7f9c0e2ce128
Micro-op 1: 7f9c0e2ce0e9	Micro-op 2: 7f9c0e2ce15a
Micro-op 1: 7f9c0e2ce16c	Micro-op 2: 7f9c0e2ce16c
Micro-op 1: 7f9c0e2cb9f0	Micro-op 2: 7f9c0e2cb9f0
Micro-op 1: 7f9c0e2cba80	Micro-op 2: 7f9c0e2cbadb
Micro-op 1: 7f9c0e2cbadc	Micro-op 2: 7f9c0e2cbadd
Micro-op 1: 7f9c0e2ce6e6	Micro-op 2: 7f9c0e2ce715
Micro-op 1: 7f9c0e2ce720	Micro-op 2: 7f9c0e2ce721
Micro-op 1: 7f9c0e2ce723	Micro-op 2: 7f9c0e2ce724
Micro-op 1: 7f9c0b08d890	Micro-op 2: 7f9c0b08d890
Micro-op 1: 7f9c12bc5bf6	Micro-op 2: 7f9c12c17c44
Micro-op 1: 7f9c0e2cedd1	Micro-op 2: 7f9c12c17c4d
Micro-op 1: 7f9c0e2cee08	Micro-op 2: 7f9c0e2ce6be
Micro-op 1: 7f9c0e2ce6ca	Micro-op 2: 7f9c0e2ce6ca
Micro-op 1: 7f9c0e2ced18	Micro-op 2: 7f9c0e2cee08
Micro-op 1: 7f9c0e2ced18	Micro-op 2: 7f9c0e2cee18
Micro-op 1: 7f9c12bc5bf6	Micro-op 2: 7f9c12d85d5d
Micro-op 1: 7f9c12d85db9	Micro-op 2: 7f9c12d85dba
Micro-op 1: 7f9c12d85dbd	Micro-op 2: 7f9c12d85dbf
Micro-op 1: 7f9c0e2cee26	Micro-op 2: 7f9c0e2cedeb
Micro-op 1: 7f9c12bc5bf6	Micro-op 2: 7f9c0e2cedef
Micro-op 1: 7f9c0e2cee02	Micro-op 2: 7f9c0e2cee03
Micro-op 1: 7f9c0e2ced18	Micro-op 2: 7f9c0e2ced18
Micro-op 1: 7f9c0e2ced29	Micro-op 2: 7f9c0e2ced29
Micro-op 1: 7f9c0e377f51	Micro-op 2: 7f9c0e377f54
Micro-op 1: 7f9c0e377f43	Micro-op 2: 7f9c0e377f43
Micro-op 1: 7f9c0e377f51	Micro-op 2: 7f9c0e377f51
Micro-op 1: 7f9c0d8f3d5e	Micro-op 2: 7f9c0e2ce1c1
Micro-op 1: 7f9c0e2ce1f7	Micro-op 2: 7f9c0e2ce202
Micro-op 1: 7f9c0d8f3d5e	Micro-op 2: 7f9c0e2c40e2
Micro-op 1: 7f9c0e2c40f1	Micro-op 2: 7f9c0e2c40fd
Micro-op 1: 7f9c0e2ce1d9	Micro-op 2: 7f9c0e2c4109
Micro-op 1: 7f9c0e2c3d91	Micro-op 2: 7f9c0e2c3dd6
Micro-op 1: 7f9c0e2c3d85	Micro-op 2: 7f9c0e2c3ddb
Micro-op 1: 7f9c0e2c3de4	Micro-op 2: 7f9c0e2c3de5
Micro-op 1: 7f9c0e2c3de7	Micro-op 2: 7f9c0e2c3de9
Micro-op 1: 7f9c0e2c3deb	Micro-op 2: 7f9c0e2c3ded
Micro-op 1: 7f9c0e2c4080	Micro-op 2: 7f9c0e2c4081
Micro-op 1: 7f9c0e2c4083	Micro-op 2: 7f9c0e2c4085
Micro-op 1: 7f9c0e2c4087	Micro-op 2: 7f9c0e2c4088
Micro-op 1: 7f9c0d8f3d5e	Micro-op 2: 7f9c0e2c41b6
Micro-op 1: 7f9c0e2c41b2	Micro-op 2: 7f9c0e2c41c7
Micro-op 1: 7f9c0e2c41c8	Micro-op 2: 7f9c0e2c41ca
Micro-op 1: 7f9c0e2c3dc9	Micro-op 2: 7f9c0e2c41cc
Micro-op 1: 7f9c0e2c41ce	Micro-op 2: 7f9c0e2c41d0
Micro-op 1: 7f9c0e2c41d1	Micro-op 2: 7f9c0e2ce247
Micro-op 1: 7f9c0e2c3db3	Micro-op 2: 7f9c0e2ce256
Micro-op 1: 7f9c0e2ce26f	Micro-op 2: 7f9c0e2ce272
Micro-op 1: 7f9c12d85dbb	Micro-op 2: 7f9c0e2ce21c
Micro-op 1: 7f9c0d8f3d5e	Micro-op 2: 7f9c0e2ce220
Micro-op 1: 7f9c0e2cee04	Micro-op 2: 7f9c0e2ce233
Micro-op 1: 7f9c0e2cee04	Micro-op 2: 7f9c0e2ce234
Micro-op 1: 7f9c0e2cee04	Micro-op 2: 7f9c0e2ce236
Micro-op 1: 7f9c0e2cee04	Micro-op 2: 7f9c0e2ce238
Micro-op 1: 7f9c0e2cee04	Micro-op 2: 7f9c0e2ce23a
Micro-op 1: 7f9c0e2cee04	Micro-op 2: 7f9c0e2ce23c
Micro-op 1: 7f9c0e2cee04	Micro-op 2: 7f9c0e2ce23d
Micro-op 1: 7f9c0e378040	Micro-op 2: 7f9c0e377f7a
Micro-op 1: 7f9c0e377f8a	Micro-op 2: 7f9c0e377f8b
Micro-op 1: 7f9c0e378053	Micro-op 2: 7f9c0e378053
Micro-op 1: 7f9c0e2ce0a1	Micro-op 2: 7f9c0e2ce0a1
Micro-op 1: 7f9c12d85dbb	Micro-op 2: 7f9c0e2cbadc
Micro-op 1: 7f9c0e2ced18	Micro-op 2: 7f9c0e2ce6e6
Micro-op 1: 7f9c12d85dbb	Micro-op 2: 7f9c0e2ce720
Micro-op 1: 7f9c0e2cee04	Micro-op 2: 7f9c0e2ce723
Micro-op 1: 7f9c0e2ce0e9	Micro-op 2: 7f9c0e2cedc6
Micro-op 1: 7f9c0e2cee04	Micro-op 2: 7f9c0e2cedd1
Micro-op 1: 7f9c0e2ce24f	Micro-op 2: 7f9c0e2cedd5
Micro-op 1: 7f9c0e2cf030	Micro-op 2: 7f9c0e2cf030
Micro-op 1: 7f9c0b08f3a0	Micro-op 2: 7f9c0b08f3a0
Micro-op 1: 7f9c12d85d7f	Micro-op 2: 7f9c12d85d7f
Micro-op 1: 7f9c12d85dbb	Micro-op 2: 7f9c12d85db9
Micro-op 1: 7f9c12d85dbb	Micro-op 2: 7f9c12d85dbb
Micro-op 1: 7f9c0e2cee04	Micro-op 2: 7f9c12d85dbd
Micro-op 1: 7f9c0e2cee04	Micro-op 2: 7f9c0e2cee26
Micro-op 1: 7f9c0e378080	Micro-op 2: 7f9c0e378083
Micro-op 1: 7f9c0e2c3dee	Micro-op 2: 7f9c0e2c3de4
Micro-op 1: 7f9c0e2c3de7	Micro-op 2: 7f9c0e2c3deb
Micro-op 1: 7f9c0e2c3dee	Micro-op 2: 7f9c0e2c4080
Micro-op 1: 7f9c0e2cba80	Micro-op 2: 7f9c0e2c4083
Micro-op 1: 7f9c0e2cba80	Micro-op 2: 7f9c0e2c4087
Micro-op 1: 7f9c0e2c40f1	Micro-op 2: 7f9c0e2c41a9
Micro-op 1: 7f9c12d85dbb	Micro-op 2: 7f9c0e2c41b2
Micro-op 1: 7f9c12d85dbb	Micro-op 2: 7f9c0e2c41c8
Micro-op 1: 7f9c12d85dbb	Micro-op 2: 7f9c0e2c41ce
Micro-op 1: 7f9c0e2c3dc9	Micro-op 2: 7f9c0e2c41d1
Micro-op 1: 7f9c0e2ce1f7	Micro-op 2: 7f9c0e2ce26f
Micro-op 1: 7f9c12bc5bf6	Micro-op 2: 7f9c0d8efb63
Micro-op 1: 7f9c0e2ce23d	Micro-op 2: 7f9c0d8efb89
Micro-op 1: 7f9c12c17c44	Micro-op 2: 7f9c12bca1cd
Micro-op 1: 7f9c0e378053	Micro-op 2: 7f9c0e3774df
Micro-op 1: 7f9c0e377517	Micro-op 2: 7f9c0e37751a
Micro-op 1: 7f9c0e2c40f1	Micro-op 2: 7f9c0e2c40fd
Micro-op 1: 7f9c12d85dbb	Micro-op 2: 7f9c0e2c3dc9
Micro-op 1: 7f9c0e2c3de7	Micro-op 2: 7f9c0e2c3dee
Micro-op 1: 7f9c0e2ce24f	Micro-op 2: 7f9c0e2ce24f
Micro-op 1: 7f9c0e2ce23d	Micro-op 2: 7f9c12d0eb9d
Micro-op 1: 7f9c0e378040	Micro-op 2: 7f9c0e37754d
Micro-op 1: 7f9c0e2ce1d9	Micro-op 2: 7f9c0e2ce1d9
Micro-op 1: 7f9c0e2ce1f7	Micro-op 2: 7f9c0e2ce1f7
Micro-op 1: 7f9c0e3775b6	Micro-op 2: 7f9c0e3775b7
Micro-op 1: 7f9c0e3775b9	Micro-op 2: 7f9c0e3775ba
Micro-op 1: 7f9c12d7ffc4	Micro-op 2: 7f9c12d80060
Micro-op 1: 7f9c12d80073	Micro-op 2: 7f9c12d800ad
Micro-op 1: 7f9c12d8006b	Micro-op 2: 7f9c12d80004
Micro-op 1: 7f9c12d800b3	Micro-op 2: 7f9c12d8000f
Micro-op 1: 7f9c12d8001a	Micro-op 2: 7f9c12d8001b
Micro-op 1: 7f9c12ba5554	Micro-op 2: 7f9c12ba5514
Micro-op 1: 7f9c12ba5554	Micro-op 2: 7f9c12ba5554
Micro-op 1: 7f9c139914c0	Micro-op 2: 7f9c139914ca
Micro-op 1: 7f9c1399ab79	Micro-op 2: 7f9c1399ab79
Micro-op 1: 7f9c1399ab79	Micro-op 2: 7f9c1399ab79
Micro-op 1: 7f9c1399ab90	Micro-op 2: 7f9c1399152e
Micro-op 1: 7f9c1399152f	Micro-op 2: 7f9c13991530
Micro-op 1: 7f9c13991532	Micro-op 2: 7f9c13991534
Micro-op 1: 7f9c12bca265	Micro-op 2: 7f9c12bca265
Micro-op 1: 7f9c12bca225	Micro-op 2: 7f9c12bca225
Micro-op 1: 7f9c12bca235	Micro-op 2: 7f9c12bca235
Micro-op 1: 7f9c139914aa	Micro-op 2: 7f9c12d817b4
Micro-op 1: 7f9c139914aa	Micro-op 2: 7f9c12d8183b
Micro-op 1: 7f9c12d8184e	Micro-op 2: 7f9c12d8185b
Micro-op 1: 7f9c12d817cb	Micro-op 2: 7f9c12d817d8
Micro-op 1: 7f9c12d817e6	Micro-op 2: 7f9c12bca24a
Micro-op 1: 7f9c12bca24b	Micro-op 2: 7f9c12bca24c
Micro-op 1: 7f9c12bca24e	Micro-op 2: 7f9c12bca250
Micro-op 1: 7f9c0d8efaf3	Micro-op 2: 7f9c0d8edfe0
Micro-op 1: 7f9c0d8efaf3	Micro-op 2: 7f9c0d8edfe4
Micro-op 1: 7f9c0d8efaf3	Micro-op 2: 7f9c0d8edffe
Micro-op 1: 7f9c0d8efaf3	Micro-op 2: 7f9c0d8ee00e
Micro-op 1: 7f9c0e2dc23d	Micro-op 2: 7f9c0d8ee018
Micro-op 1: 7f9c0d8efe5e	Micro-op 2: 7f9c0d8efe96
Micro-op 1: 7f9c0d8efaf3	Micro-op 2: 7f9c0d8efea9
Micro-op 1: 7f9c0d8efaf3	Micro-op 2: 7f9c0d8efeae
Micro-op 1: 7f9c0d8efe5e	Micro-op 2: 7f9c0d8efec5
Micro-op 1: 7f9c0d8efaf3	Micro-op 2: 7f9c0d8efee0
Micro-op 1: 7f9c0e2c3db3	Micro-op 2: 7f9c0d8efee9
Micro-op 1: 7f9c0d8efe6d	Micro-op 2: 7f9c0d8efe6d
Micro-op 1: 7f9c0d8edff1	Micro-op 2: 7f9c0d8edff1
Micro-op 1: 7f9c0d8ee002	Micro-op 2: 7f9c0d8ee002
Micro-op 1: 7f9c0d8efea5	Micro-op 2: 7f9c0d8efea5
Micro-op 1: 7f9c0d8efeb9	Micro-op 2: 7f9c0d8efeb9
Micro-op 1: 7f9c0d8efef5	Micro-op 2: 7f9c0d8efef5
Micro-op 1: 7f9c0d8efef8	Micro-op 2: 7f9c0d8efef8
Micro-op 1: 7f9c0d8efe6d	Micro-op 2: 7f9c0beec58d
Micro-op 1: 7f9c0beec589	Micro-op 2: 7f9c0beec5a9
Micro-op 1: 7f9c12d7d54e	Micro-op 2: 7f9c0d8efd0d
Micro-op 1: 7f9c0e377f8c	Micro-op 2: 7f9c0d8efd1c
Micro-op 1: 7f9c0e378040	Micro-op 2: 7f9c0e378040
Micro-op 1: 7f9c0e2ce1f7	Micro-op 2: 7f9c0e378080
Micro-op 1: 7f9c0e2ce1f7	Micro-op 2: 7f9c0e378083
Micro-op 1: 7f9c0e2c3dee	Micro-op 2: 7f9c0e2c3de7
Micro-op 1: 7f9c0d8efaf3	Micro-op 2: 7f9c0d8efaf3
Micro-op 1: 7f9c0d8efe6d	Micro-op 2: 7f9c0b7f4cbb
Micro-op 1: 7f9c0e2ce23d	Micro-op 2: 7f9c0b7f4cca
Micro-op 1: 7f9c0d8efd37	Micro-op 2: 7f9c0b7f4cd4
Micro-op 1: 7f9c12d85dbb	Micro-op 2: 7f9c0b7f4cee
Micro-op 1: 7f9c0b7f4ce9	Micro-op 2: 7f9c12d7ffc4
Micro-op 1: 7f9c12d81846	Micro-op 2: 7f9c12d8006b
Micro-op 1: 7f9c12d80073	Micro-op 2: 7f9c12d800b3
Micro-op 1: 7f9c0e377f8c	Micro-op 2: 7f9c12d8001a
Micro-op 1: 7f9c12d7ffef	Micro-op 2: 7f9c12d7fff9
Micro-op 1: 7f9c12d8001a	Micro-op 2: 7f9c12d8001b
Micro-op 1: 7f9c0b7f4d0f	Micro-op 2: 7f9c0b7f4d1a
Micro-op 1: 7f9c0d8efe6d	Micro-op 2: 7f9c0df8e154
Micro-op 1: 7f9c0df8e163	Micro-op 2: 7f9c0df8e16f
Micro-op 1: 7f9c0e11f680	Micro-op 2: 7f9c0e11f68b
Micro-op 1: 7f9c0e11f692	Micro-op 2: 7f9c0e11f783
Micro-op 1: 7f9c0e11f780	Micro-op 2: 7f9c0e11f7a0
Micro-op 1: 7f9c0e11f692	Micro-op 2: 7f9c0e115998
Micro-op 1: 7f9c0df8e1c9	Micro-op 2: 7f9c0e10ea7c
Micro-op 1: 7f9c0d8efe6d	Micro-op 2: 7f9c0df8b15f
Micro-op 1: 7f9c0d8efe6d	Micro-op 2: 7f9c0df8b1a8
Micro-op 1: 7f9c0e377509	Micro-op 2: 7f9c0e377509
Micro-op 1: 7f9c0e377517	Micro-op 2: 7f9c0e377517
Micro-op 1: 7f9c0e2c40f1	Micro-op 2: 7f9c0e2c40f1
Micro-op 1: 7f9c0e2ce23d	Micro-op 2: 7f9c0e2ce23d
Micro-op 1: 7f9c0e2ce23d	Micro-op 2: 7f9c0e3775b6
Micro-op 1: 7f9c0e377f8c	Micro-op 2: 7f9c0e3775b9
Micro-op 1: 7f9c12bca202	Micro-op 2: 7f9c12bca202
Micro-op 1: 7f9c12bca20e	Micro-op 2: 7f9c12bca20e
Micro-op 1: 7f9c12d7ffde	Micro-op 2: 7f9c12d7ffde
Micro-op 1: 7f9c12d85dbb	Micro-op 2: 7f9c12d8001a
Micro-op 1: 7f9c12d817db	Micro-op 2: 7f9c139914aa
Micro-op 1: 7f9c139914b6	Micro-op 2: 7f9c139914b6
Micro-op 1: 7f9c139914d4	Micro-op 2: 7f9c139914d4
Micro-op 1: 7f9c1399ab24	Micro-op 2: 7f9c1399ab24
Micro-op 1: 7f9c1399ab2b	Micro-op 2: 7f9c1399ab2b
Micro-op 1: 7f9c1399ab36	Micro-op 2: 7f9c1399ab36
Micro-op 1: 7f9c1399ab81	Micro-op 2: 7f9c1399ab81
Micro-op 1: 7f9c1399ab85	Micro-op 2: 7f9c1399ab85
Micro-op 1: 7f9c0e2ce23d	Micro-op 2: 7f9c1399ab90
Micro-op 1: 7f9c13991520	Micro-op 2: 7f9c13991520
Micro-op 1: 7f9c0e2ce23d	Micro-op 2: 7f9c1399152f
Micro-op 1: 7f9c0e377f8c	Micro-op 2: 7f9c13991532
Micro-op 1: 7f9c12d81846	Micro-op 2: 7f9c12d81846
Micro-op 1: 7f9c12d817db	Micro-op 2: 7f9c12d8184e
Micro-op 1: 7f9c12d817db	Micro-op 2: 7f9c12d817cb
Micro-op 1: 7f9c12d817db	Micro-op 2: 7f9c12d817db
Micro-op 1: 7f9c0e377f8c	Micro-op 2: 7f9c12d817e6
Micro-op 1: 7f9c12bca23b	Micro-op 2: 7f9c12bca23b
Micro-op 1: 7f9c0e377f8c	Micro-op 2: 7f9c12bca24b
Micro-op 1: 7f9c0e377f8c	Micro-op 2: 7f9c12bca24e
Micro-op 1: 7f9c0e2dc23d	Micro-op 2: 7f9c0e2dc23d
Micro-op 1: 7f9c0e2c3db3	Micro-op 2: 7f9c0e2c3db3
Micro-op 1: 7f9c0b08d440	Micro-op 2: 7f9c0b08d440
Micro-op 1: 7f9c0e37751a	Micro-op 2: 7f9c0e2ce25e
Micro-op 1: 7f9c12bca1e9	Micro-op 2: 7f9c12bca1e9
Micro-op 1: 7f9c12bca1f4	Micro-op 2: 7f9c12bca1f4
Micro-op 1: 7f9c139914aa	Micro-op 2: 7f9c12d80073
Micro-op 1: 7f9c139914c0	Micro-op 2: 7f9c139914c0
Micro-op 1: 7f9c0df8b16e	Micro-op 2: 7f9c0df8b1d4
Micro-op 1: 7f9c12d7d54e	Micro-op 2: 7f9c0df8b189
Micro-op 1: 7f9c0df8b19c	Micro-op 2: 7f9c0df8b19d
Micro-op 1: 7f9c0df8b19f	Micro-op 2: 7f9c0df8b1a1
Micro-op 1: 7f9c0df8b1a3	Micro-op 2: 7f9c0df8b1a4
Micro-op 1: 7f9c0df8e1cf	Micro-op 2: 7f9c0df8b550
Micro-op 1: 7f9c0df8b541	Micro-op 2: 7f9c0df8b55a
Micro-op 1: 7f9c0df8b586	Micro-op 2: 7f9c0df8b586
Micro-op 1: 7f9c0df8b586	Micro-op 2: 7f9c0df8b591
Micro-op 1: 7f9c0df8b5c5	Micro-op 2: 7f9c0df8b5c6
Micro-op 1: 7f9c0df8e222	Micro-op 2: 7f9c0df8e22d
Micro-op 1: 7f9c12c17c44	Micro-op 2: 7f9c0e132741
Micro-op 1: 7f9c0d8f3d5e	Micro-op 2: 7f9c0e164379
Micro-op 1: 7f9c0e164337	Micro-op 2: 7f9c0e164337
Micro-op 1: 7f9c12c17c44	Micro-op 2: 7f9c0e1642b0
Micro-op 1: 7f9c12c17c44	Micro-op 2: 7f9c0e1646a7
Micro-op 1: 7f9c0e377509	Micro-op 2: 7f9c0e378072
Micro-op 1: 7f9c0e2ce268	Micro-op 2: 7f9c0e2ce23c
Micro-op 1: 7f9c0e2ce268	Micro-op 2: 7f9c0e2ce23d
Micro-op 1: 7f9c0e1646d7	Micro-op 2: 7f9c0e1646e6
Micro-op 1: 7f9c0e2c3d85	Micro-op 2: 7f9c0e2c3d85
Micro-op 1: 7f9c0e2c3d91	Micro-op 2: 7f9c0e2c3d91
Micro-op 1: 7f9c0d8efe6d	Micro-op 2: 7f9c0e2ce220
Micro-op 1: 7f9c0e37751a	Micro-op 2: 7f9c0e378091
Micro-op 1: 7f9c0e37751a	Micro-op 2: 7f9c0e37809a
Micro-op 1: 7f9c0e1646f1	Micro-op 2: 7f9c0e164709
Micro-op 1: 7f9c0e164734	Micro-op 2: 7f9c0e164734
Micro-op 1: 7f9c0d8f3d5e	Micro-op 2: 7f9c0e13211e
Micro-op 1: 7f9c12c9b736	Micro-op 2: 7f9c12c9b745
Micro-op 1: 7f9c0e12d770	Micro-op 2: 7f9c0e12d771
Micro-op 1: 7f9c0b08d960	Micro-op 2: 7f9c0b08d960
Micro-op 1: 7f9c12c9b736	Micro-op 2: 7f9c12c9b736
Micro-op 1: 7f9c12c670cb	Micro-op 2: 7f9c0e12d759
Micro-op 1: 7f9c0d8efe6d	Micro-op 2: 7f9c0e20dec0
Micro-op 1: 7f9c0d8efe6d	Micro-op 2: 7f9c0e229a8e
Micro-op 1: 7f9c0e229d48	Micro-op 2: 7f9c0e229d48
Micro-op 1: 7f9c0e229d3b	Micro-op 2: 7f9c0e229d3b
Micro-op 1: 7f9c0e211ae4	Micro-op 2: 7f9c0e211aeb
Micro-op 1: 7f9c0e211b00	Micro-op 2: 7f9c0e211b08
Micro-op 1: 7f9c0e211b23	Micro-op 2: 7f9c0e211b00
Micro-op 1: 7f9c0e211b1e	Micro-op 2: 7f9c0e211b1e
Micro-op 1: 7f9c0e211b23	Micro-op 2: 7f9c0e211b23
Micro-op 1: 7f9c0e211b3f	Micro-op 2: 7f9c0e211b40
Micro-op 1: 7f9c0e211b44	Micro-op 2: 7f9c0e211b46
Micro-op 1: 7f9c0e211b48	Micro-op 2: 7f9c0e211b49
