Scarab gitrev: fbdb46e
Scarab started at Sun Mar 23 11:59:22 2025

Initialized Ramulator. 
Micro-op 1: 7f7180be9f56	Micro-op 2: 7f7180be9f72
Micro-op 1: 7f7180b9baf0	Micro-op 2: 7f7180b9bb47
Micro-op 1: 7f7180bea0be	Micro-op 2: 7f7181c018cb
Micro-op 1: 7f7181c01936	Micro-op 2: 7f7181c01936
Micro-op 1: 7f7181c019e3	Micro-op 2: 7f7181c019ea
Micro-op 1: 7f7180b9bb4e	Micro-op 2: 7f7180b9bb4e
Micro-op 1: 7f7181c01a13	Micro-op 2: 7f7181c01a13
Micro-op 1: 7f7181c01a62	Micro-op 2: 7f7181c01a62
Micro-op 1: 7f7180b9bb62	Micro-op 2: 7f7180b9bb62
Micro-op 1: 7f7181c018c4	Micro-op 2: 7f7181c018c4
Micro-op 1: 7f7181c00be7	Micro-op 2: 7f717e70d01e
Micro-op 1: 7f717e70d01b	Micro-op 2: 7f717e70d01b
Micro-op 1: 7f7180b9bb62	Micro-op 2: 7f7180b9bb62
Micro-op 1: 7f717e920374	Micro-op 2: 7f717e920374
Micro-op 1: 7f717e920020	Micro-op 2: 7f717e920026
Micro-op 1: 7f7181884c31	Micro-op 2: 7f7181884c35
Micro-op 1: 7f718187d0d2	Micro-op 2: 7f718187d0e9
Micro-op 1: 7f718187d0ed	Micro-op 2: 7f718187d0f1
Micro-op 1: 7f718187d0d6	Micro-op 2: 7f718187d0f4
Micro-op 1: 7f7180bea0be	Micro-op 2: 7f718187d15d
Micro-op 1: 7f718187d11b	Micro-op 2: 7f718187d172
Micro-op 1: 7f71818780eb	Micro-op 2: 7f718187812c
Micro-op 1: 7f7181878146	Micro-op 2: 7f7181878166
Micro-op 1: 7f7181878158	Micro-op 2: 7f718187816b
Micro-op 1: 7f7181878196	Micro-op 2: 7f71818781c3
Micro-op 1: 7f718187816f	Micro-op 2: 7f71818781d5
Micro-op 1: 7f71818781c7	Micro-op 2: 7f71818781e7
Micro-op 1: 7f71818774dd	Micro-op 2: 7f71818774ea
Micro-op 1: 7f71818774d4	Micro-op 2: 7f7181877512
Micro-op 1: 7f71818775db	Micro-op 2: 7f71818775db
Micro-op 1: 7f7181877555	Micro-op 2: 7f7181877562
Micro-op 1: 7f7181877530	Micro-op 2: 7f718187756a
Micro-op 1: 7f71818775db	Micro-op 2: 7f718187757f
Micro-op 1: 7f718187757a	Micro-op 2: 7f7181877585
Micro-op 1: 7f71818775db	Micro-op 2: 7f7181877589
Micro-op 1: 7f71818775bf	Micro-op 2: 7f71818775bf
Micro-op 1: 7f71818775e4	Micro-op 2: 7f71818775e4
Micro-op 1: 7f7181877545	Micro-op 2: 7f718187755e
Micro-op 1: 7f718187757a	Micro-op 2: 7f718187757a
Micro-op 1: 7f71818775c4	Micro-op 2: 7f71818775c4
Micro-op 1: 7f7181877530	Micro-op 2: 7f7181877530
Micro-op 1: 7f7181877545	Micro-op 2: 7f7181877545
Micro-op 1: 7f7181877555	Micro-op 2: 7f7181877555
Micro-op 1: 7f718187758f	Micro-op 2: 7f718187758f
Micro-op 1: 7f71818777b8	Micro-op 2: 7f71818777ca
Micro-op 1: 7f71818777db	Micro-op 2: 7f71818777f4
Micro-op 1: 7f718187782d	Micro-op 2: 7f718187782d
Micro-op 1: 7f718187784c	Micro-op 2: 7f7181877867
Micro-op 1: 7f718187786c	Micro-op 2: 7f7181877879
Micro-op 1: 7f718187733a	Micro-op 2: 7f7181877344
Micro-op 1: 7f7181877355	Micro-op 2: 7f7181877386
Micro-op 1: 7f718187734d	Micro-op 2: 7f718187738b
Micro-op 1: 7f718188c784	Micro-op 2: 7f718188c7b0
Micro-op 1: 7f7181877871	Micro-op 2: 7f71818774dd
Micro-op 1: 7f718187750b	Micro-op 2: 7f718187750b
Micro-op 1: 7f71818773c8	Micro-op 2: 7f71818777b8
Micro-op 1: 7f71818777bf	Micro-op 2: 7f71818777bf
Micro-op 1: 7f718187750b	Micro-op 2: 7f71818777db
Micro-op 1: 7f718187780f	Micro-op 2: 7f718187780f
Micro-op 1: 7f7181877842	Micro-op 2: 7f7181877842
Micro-op 1: 7f718187784c	Micro-op 2: 7f718187786c
Micro-op 1: 7f718187750b	Micro-op 2: 7f7181877871
Micro-op 1: 7f71818773b3	Micro-op 2: 7f718187734d
Micro-op 1: 7f718187733a	Micro-op 2: 7f7181877355
Micro-op 1: 7f718188b691	Micro-op 2: 7f718188b691
Micro-op 1: 7f718188ca28	Micro-op 2: 7f718188c784
Micro-op 1: 7f718188ca24	Micro-op 2: 7f718188c7ea
Micro-op 1: 7f718188ca28	Micro-op 2: 7f718188c7ef
Micro-op 1: 7f718188ca24	Micro-op 2: 7f718188ca24
Micro-op 1: 7f718188ca28	Micro-op 2: 7f718188ca28
Micro-op 1: 7f718188ca2e	Micro-op 2: 7f718188ca2e
